模板类型,业务域,表名/代码集,中文名称,字段/状态码,字段中文名/状态名称,类型/长度,是否主键,是否必填,默认值,取值范围/状态流转,业务规则,来源PBL/对象,接口映射(预留),备注
状态码,通用,is_title,,is_title='开通',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='撤销',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='数据',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='新增',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='更换',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='查看',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='汇总',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='离店',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='翻新',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='考勤',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='计费',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='记录',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='跟踪',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='通讯卡信息',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='部门',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_typ,,is_typ='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_type,,is_type='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_type,,is_type='2',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_typeof,,is_typeof='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_value,,is_value<>'',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_value,,is_value='获取',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_value,,is_value='获取第',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_viewtext,,is_viewtext='查看(&V)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_waitobject,,is_waitobject='wait',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_wh_filter,,is_wh_filter='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_whcd,,is_whcd='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,status,,status<>'0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,status,,status<>'09',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,status,,status='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,status,,status='00',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,status,,status='01',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,status,,status='02',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,status,,status='03',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,status,,status='09',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg<>'0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg<>'2',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg<>'9',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,"useflg='"" + ls_status + ""'",,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,"useflg='""+ls_temp+""'",,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,"useflg='""+ls_tmp+""'",,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg='9',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg='N',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg='Y',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,useflg=1,,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,useflg,,"useflgin('1','2')",,,,,,,,代码抽取,,来源=代码，待业务确认
